,T03,T04,T05,T06,T01,T07,T09,T10,T11,T02
262,14115.0,19186.0,0.0,0.0,9892.0,9863.0,0.0,0.0,0.0,2168
263,13288.0,18555.0,0.0,0.0,11860.0,9509.0,0.0,0.0,0.0,2191
264,13420.0,20002.0,0.0,0.0,11805.0,9647.0,0.0,0.0,0.0,2124
265,13734.0,20032.0,0.0,0.0,11940.0,9518.0,0.0,0.0,0.0,2193
266,13494.0,20171.0,0.0,0.0,10989.0,9283.0,0.0,0.0,0.0,2118
267,14605.0,19373.0,0.0,0.0,11300.0,9347.0,0.0,0.0,0.0,2017
268,13180.0,24822.0,0.0,0.0,11525.0,9209.0,0.0,0.0,0.0,2160
269,13424.0,23678.0,0.0,0.0,11902.0,9424.0,0.0,0.0,0.0,2112
270,14157.0,23892.0,0.0,0.0,11388.0,9452.0,0.0,0.0,0.0,1976
271,14524.0,24683.0,0.0,0.0,11702.0,9250.0,0.0,0.0,0.0,1540
272,14620.0,25682.0,0.0,0.0,12445.0,9914.0,0.0,0.0,0.0,2143
273,14854.0,25922.0,0.0,0.0,13070.0,9512.0,0.0,0.0,0.0,2059
274,14159.0,22595.0,0.0,0.0,11717.0,9505.0,0.0,0.0,0.0,2132
275,14988.0,21657.0,0.0,0.0,11332.0,10517.0,0.0,0.0,0.0,2121
276,14446.0,22427.0,0.0,0.0,11060.0,10530.0,0.0,0.0,0.0,2119
277,14874.0,22266.0,0.0,0.0,11970.0,10050.0,0.0,0.0,0.0,2094
278,15240.0,21995.0,0.0,0.0,11378.0,10013.0,0.0,0.0,0.0,2180
279,10883.0,12972.0,0.0,0.0,10366.0,10076.0,0.0,0.0,0.0,2190
280,13153.0,17256.0,0.0,0.0,12494.0,9927.0,0.0,0.0,0.0,2214
281,13494.0,19153.0,0.0,0.0,16047.0,10225.0,0.0,0.0,0.0,2141
282,13726.0,19196.0,0.0,0.0,14961.0,10308.0,0.0,0.0,0.0,2219
283,13819.0,19815.0,0.0,0.0,13482.0,10209.0,0.0,0.0,0.0,2165
284,13264.0,19586.0,0.0,0.0,13688.0,10239.0,0.0,0.0,0.0,2173
285,12940.0,19842.0,0.0,0.0,18391.0,10246.0,0.0,0.0,0.0,2170
286,13459.0,20059.0,0.0,0.0,0.0,9615.0,0.0,0.0,0.0,2187
287,13489.0,19844.0,0.0,0.0,0.0,8487.0,0.0,0.0,0.0,2227
288,13781.0,19504.0,0.0,0.0,0.0,10162.0,0.0,0.0,0.0,2124
289,13855.0,19905.0,0.0,0.0,0.0,9870.0,0.0,0.0,0.0,2226
290,13949.0,19976.0,0.0,0.0,0.0,9666.0,0.0,0.0,0.0,2225
291,14985.0,20431.0,0.0,0.0,0.0,9578.0,0.0,0.0,0.0,2114
292,14501.0,21289.0,0.0,0.0,0.0,9622.0,0.0,0.0,0.0,2253
293,13878.0,20101.0,0.0,0.0,0.0,9800.0,0.0,0.0,0.0,2171
294,14397.0,20641.0,0.0,0.0,0.0,9567.0,0.0,0.0,0.0,2201
295,14286.0,24927.0,0.0,0.0,0.0,9767.0,0.0,0.0,0.0,2103
296,14073.0,25571.0,0.0,0.0,0.0,9610.0,0.0,0.0,0.0,2170
