,T03,T04,T05,T06,T02,index
1842,0.0,0.0,0.0,0.0,4164,421
1843,0.0,0.0,0.0,0.0,4166,422
1844,0.0,0.0,0.0,0.0,4167,423
1845,0.0,0.0,0.0,0.0,4305,424
1846,0.0,0.0,0.0,0.0,4221,425
1847,0.0,0.0,0.0,0.0,4237,426
1848,0.0,0.0,0.0,0.0,4115,427
1849,0.0,0.0,0.0,0.0,4168,428
1850,0.0,0.0,0.0,0.0,4231,429
1852,0.0,0.0,0.0,0.0,4287,430
1853,0.0,0.0,0.0,0.0,4313,431
1854,0.0,0.0,0.0,0.0,4374,432
1855,0.0,0.0,0.0,0.0,4374,433
1856,0.0,0.0,0.0,0.0,4293,434
1857,0.0,0.0,0.0,0.0,4366,435
1858,0.0,0.0,0.0,0.0,4457,436
1859,0.0,0.0,0.0,0.0,4579,437
1860,0.0,0.0,0.0,0.0,4214,438
1861,0.0,0.0,0.0,0.0,4311,439
1863,0.0,0.0,0.0,0.0,4203,440
1864,0.0,0.0,0.0,0.0,3903,442
1865,0.0,0.0,0.0,0.0,4537,443
1866,0.0,0.0,0.0,0.0,4589,444
1867,0.0,0.0,0.0,0.0,4549,445
1868,0.0,0.0,0.0,0.0,4660,446
1869,0.0,0.0,0.0,0.0,4604,447
1870,0.0,0.0,0.0,0.0,4746,448
1871,0.0,0.0,0.0,0.0,4708,449
1873,0.0,0.0,0.0,0.0,4724,450
1874,0.0,0.0,0.0,0.0,4589,451
1875,0.0,0.0,0.0,0.0,4739,452
1876,0.0,0.0,0.0,0.0,4881,453
1877,0.0,0.0,0.0,0.0,4781,454
1878,0.0,0.0,0.0,0.0,4643,455
1879,0.0,0.0,0.0,0.0,4750,456
1880,0.0,0.0,0.0,0.0,4765,457
1881,0.0,0.0,0.0,0.0,4909,458
1882,0.0,0.0,0.0,0.0,5060,459
1884,0.0,0.0,0.0,0.0,4865,460
1885,0.0,0.0,0.0,0.0,4454,461
1886,0.0,0.0,0.0,0.0,4765,462
1887,0.0,0.0,0.0,0.0,4685,463
1888,0.0,0.0,0.0,0.0,5035,464
1889,0.0,0.0,0.0,0.0,4979,465
1890,0.0,0.0,0.0,0.0,4931,466
1891,0.0,0.0,0.0,0.0,4711,467
1892,0.0,0.0,0.0,0.0,5008,468
1893,0.0,0.0,0.0,0.0,4909,469
1895,0.0,0.0,0.0,0.0,4899,470
1896,0.0,0.0,0.0,0.0,4947,471
1897,0.0,0.0,0.0,0.0,4940,472
1898,0.0,0.0,0.0,0.0,4919,473
1899,0.0,0.0,0.0,0.0,4816,474
1900,0.0,0.0,0.0,0.0,5126,475
1901,0.0,0.0,0.0,0.0,5034,476
1902,0.0,0.0,0.0,0.0,4952,477
1903,0.0,0.0,0.0,0.0,4986,478
1904,0.0,0.0,0.0,0.0,5131,479
1906,0.0,0.0,0.0,0.0,4942,480
1907,0.0,0.0,0.0,0.0,5052,481
1908,0.0,0.0,0.0,0.0,4794,482
1909,0.0,0.0,0.0,0.0,3928,484
1910,0.0,0.0,0.0,0.0,4801,485
1911,0.0,0.0,0.0,0.0,4714,486
1912,0.0,0.0,0.0,0.0,4707,487
1913,0.0,0.0,0.0,0.0,4687,488
1914,0.0,0.0,0.0,0.0,4736,489
1916,0.0,0.0,0.0,0.0,4865,490
1917,0.0,0.0,0.0,0.0,4953,491
1918,0.0,0.0,0.0,0.0,5062,492
1919,0.0,0.0,0.0,0.0,4626,493
1920,0.0,0.0,0.0,0.0,4749,494
1921,0.0,0.0,0.0,0.0,4918,495
1922,0.0,0.0,0.0,0.0,4972,496
1923,0.0,0.0,0.0,0.0,5065,497
1924,0.0,0.0,0.0,0.0,5104,498
1925,0.0,0.0,0.0,0.0,5222,499
1928,0.0,0.0,0.0,0.0,5199,500
1929,0.0,0.0,0.0,0.0,5276,501
1930,0.0,0.0,0.0,0.0,5340,502
1931,0.0,0.0,0.0,0.0,5441,503
1932,0.0,0.0,0.0,0.0,5232,504
1933,0.0,0.0,0.0,0.0,5213,505
1934,0.0,0.0,0.0,0.0,5358,506
1935,0.0,0.0,0.0,0.0,5479,507
1936,0.0,0.0,0.0,0.0,5373,508
1937,0.0,0.0,0.0,0.0,5210,509
